transaction_id,timestamp,location,water_flow_rate,precipitation,turbidity
1,2025-04-10 08:30:00,Limmat,3.5,12.4,8
2,2025-04-10 08:45:00,Rhine,4.2,11.8,7
3,2025-04-10 09:00:00,Reuss,3.9,10.7,6
4,2025-04-11 10:15:00,Limmat,4.5,14.2,9
5,2025-04-11 10:30:00,Aare,5.1,13.5,8
6,2025-04-11 11:00:00,Rhône,4.3,12.1,7
7,2025-04-12 08:30:00,Rhine,3.8,9.4,6
8,2025-04-12 08:45:00,Reuss,5.0,10.3,6
9,2025-04-12 09:00:00,Limmat,4.7,17.9,10
10,2025-04-13 10:00:00,Aare,3.2,11.5,6
11,2025-04-13 10:15:00,Rhône,4.0,13.6,8
12,2025-04-13 10:30:00,Limmat,5.3,19.8,11
13,2025-04-14 11:00:00,Rhine,4.1,9.2,7
14,2025-04-14 11:15:00,Reuss,3.7,10.1,6
15,2025-04-14 11:30:00,Aare,5.5,15.4,9
16,2025-04-15 08:30:00,Rhône,4.9,16.5,9
17,2025-04-15 08:45:00,Limmat,3.6,12.7,8
18,2025-04-15 09:00:00,Rhine,4.3,15.2,9
19,2025-04-15 10:00:00,Aare,5.6,14.1,10
20,2025-04-15 10:15:00,Rhône,4.2,12.8,8
